"ID"	"Stimulus"
9	"B"
12	"AC(B)D"
14	"C"
18	"B"
19	"AC(B)D"
22	"D"
24	"D"
26	"C"
30	"D"
37	"D"
39	"B"
46	"B,D"
56	"B"
57	"D"
58	"AB(C)D"
62	"AC(B)D"
83	"AC(B)D"
87	"--"
106	"B"
109	"B,A(C)BD"
112	"A"
133	"B"
148	"D"
152	"--"
154	"--"
157	"A"
158	"B"
159	"B"
170	"D"
171	"B"
182	"A,C"
185	"B"
186	"--"
187	"--"
194	"AB(C)D"
196	"D"
205	"B"
209	"AC(B)D"
214	"D"
219	"D"
222	"A"
226	"--"
263	"D"
275	"A"
278	"A"
303	"C"
331	"--"
336	"D"
338	"C"
339	"A(C)BD"
340	"A(C)BD"
345	"A"
348	"D"
349	"A"
352	"D"
353	"D"
356	"B"
357	"C"
358	"--"
360	"--"
361	"B"
363	"B"
365	"D"
367	"D"
369	"A"
370	"AB(C)D"
384	"D"
385	"C"
393	"D"
395	"D"
404	"A"
405	"AC(B)D"
409	"D"
416	"D"
424	"D"
431	"AB(C)D"
457	"B"
461	"B"
480	"D"
482	"AB(C)D"
484	"B"
499	"D"
508	"A"
517	"C"
525	"A"
538	"D"
539	"D"
541	"D"
562	"A"
563	"ABC(D)"
588	"D"
589	"--"
591	"D"
600	"--"
608	"C"
620	"D"
623	"A"
639	"A"
663	"D"
684	"B"
686	"B"
687	"AB(C)D"
692	"--"
693	"D"
697	"AC(B)D"
698	"C"
703	"B"
706	"A"
708	"C"
719	"B"
729	"AC(B)D"
742	"--"
743	"B"
744	"--"
745	"A"
749	"--"
750	"A"
753	"D"
756	"--"
758	"C"
760	"B"
761	"A(C)BD"
762	"A"
763	"A"
764	"B"
765	"B"
767	"D"
768	"D"
769	"B"
775	"D"
777	"AB(C)D"
778	"A"
779	"A"
783	"D"
788	"A"
792	"A"
793	"D"
796	"D"
797	"B"
800	"A"
803	"A"
805	"A"
807	"D"
808	"A"
809	"D"
819	"D"
829	"B"
830	"B"
840	"C"
842	"D"
845	"A"
847	"B"
856	"C"
857	"C"
861	"C"
878	"C"
884	"A"
885	"--"
887	"C"
892	"A"
914	"A"
915	"B"
917	"C"
918	"B"
921	"ABC(D)"
923	"A"
926	"D"
929	"D"
952	"D"
957	"B"
972	"A"
981	"D"
988	"C"
989	"C"
990	"B"
993	"C"
995	"A(C)BD"
1000	"A"
1022	"B"
1028	"D"
1040	"D"
1043	"A"
1051	"B"
1052	"B"
1054	"AC(B)D"
1057	"D"
1064	"B"
1077	"A"
1096	"D"
1097	"C"
1109	"C"
1110	"D"
1115	"A"
1132	"B"
1150	"D"
1172	"A"
1178	"C"
1204	"A"
1217	"C"
1218	"A"
1219	"--"
1222	"C"
1223	"A"
1224	"B"
1225	"--"
1226	"AB(C)D"
1228	"D"
1232	"A"
1235	"--"
1236	"D"
1237	"A"
1238	"D"
1241	"D"
1243	"A"
1244	"--"
1251	"--"
1262	"D"
1265	"D"
1275	"C"
1281	"B"
1282	"A"
1302	"D"
1304	"A"
1305	"D"
1318	"D"
1319	"AB(C)D"
1338	"AB(C)D"
1350	"AB(C)D"
