ID	Stimulus
5	A
18	B
20	AC(B)D
53	AB(C)D,ABB(D),ACB(D)
58	A
69	D
83	D
100	ABB(D),ACB(D)
134	C
147	--
153	--
158	B
159	--
161	AB(B)D
166	AB(B)D,AC(B)D
172	B
174	B
184	D
192	A
194	D
197	--
200	B
202	B
205	--
211	AB(B)D
212	D
226	B
235	AB(B)D
258	A
267	B
273	A
277	B
316	A(B)CD,AB(B)D
320	A(BCD),AC(BD)
389	A
424	D
425	B
429	B
431	--
442	A
460	B
462	B
463	D
467	A
470	B
471	B
472	D
474	D
477	A
483	A(B)CD,ABB(D),ACB(D)
486	D
490	--
495	--
499	C
502	A(B)CD,A(B)BD
508	B
509	B
529	D
532	C
537	ABC(D),(A)BBD,AC(B)D
548	A,(A)C(B)D
562	D
595	A(B)CD
600	B
608	AC(B)D
626	B
646	D
660	AC(B)D
699	D
711	AB(C)D,ABB(D),ACB(D)
728	B
747	B
750	A
751	AB(B)D
758	A
761	AB(B)D
769	A
852	A
884	--
885	--
889	B
895	B
897	--
899	B
904	D
905	B
906	--
913	A
914	C
918	--
921	A(B)CD,AC(B)D
924	A
927	B
966	C
968	D
977	--
997	--
1012	D
1016	B
1018	B
1029	--
1057	ABB(D),ACB(D)
1071	--
1073	--
1078	B
1081	A
1092	D
1105	B
1119	A
1122	B
1125	A
1130	--
1137	D
1155	A
1199	A
1222	B
1225	C
1262	A
1266	--
1270	A(BC)D,A(BBD),ACB(D)
1272	B
1274	--
1275	D
1278	D
1286	A
1287	--
1288	B
1289	D
1290	B
1301	A
1310	D
1319	B
1321	D
1328	A
1384	C
1385	--
1387	--
1389	C
1392	A
1393	A
1397	A
1417	A
1418	D
1420	B
1421	--
1424	ABC(D)
1433	AB(C)D
1437	D
1482	A
1493	A
1494	--
