	stimulus
0	
1	
2	
3	gray
4	
5	
6	
7	
8	
9	
10	
11	
12	
13	
14	
15	
16	
17	gray
18	B
19	
20	
21	
22	
23	
24	
25	
26	
27	
28	
29	
30	
31	
32	
33	
34	D
35	
36	
37	
38	
39	C
40	
41	A
42	
43	
44	
45	
46	
47	
48	
49	
50	
51	
52	
53	
54	
55	
56	
57	
58	A
59	
60	gray
61	
62	
63	
64	
65	
66	
67	
68	
69	D
70	D
71	
72	
73	
74	
75	
76	B
77	D
78	B
79	
80	
81	
82	
83	D
84	
85	
86	
87	
88	
89	
90	
91	
92	
93	
94	
95	
96	
97	
98	
99	
100	D
101	
102	
103	
104	D
105	
106	
107	
108	
109	
110	
111	
112	
113	
114	
115	
116	
117	
118	
119	
120	
121	
122	
123	
124	
125	
126	A
127	
128	
129	
130	
131	
132	
133	
134	C
135	
136	gray
137	
138	
139	
140	C
141	
142	
143	
144	
145	
146	
147	
148	
149	C
150	
151	gray
152	
153	gray
154	
155	
156	
157	
158	B
159	gray
160	
161	
162	gray
163	gray
164	gray
165	
166	B
167	gray
168	
169	gray
170	
171	
172	B
173	
174	B
175	
176	
177	
178	gray
179	
180	gray
181	
182	
183	
184	D
185	
186	
187	
188	B
189	
190	
191	
192	A
193	
194	D
195	
196	
197	gray
198	
199	
200	
201	
202	B
203	
204	
205	gray
206	
207	
208	
209	
210	
211	
212	
213	
214	
215	gray
216	
217	gray
218	B
219	
220	
221	
222	
223	
224	
225	
226	B
227	C
228	
229	
230	
231	
232	
233	
234	
235	
236	
237	
238	
239	
240	
241	
242	
243	
244	
245	
246	
247	
248	
249	
250	
251	
252	
253	gray
254	
255	
256	
257	
258	A
259	
260	
261	
262	
263	
264	
265	
266	
267	B
268	
269	
270	
271	
272	
273	A
274	A
275	
276	
277	B
278	
279	
280	
281	
282	
283	
284	gray
285	gray
286	
287	
288	
289	
290	
291	
292	
293	
294	
295	gray
296	
297	
298	
299	
300	
301	
302	D
303	
304	
305	
306	
307	
308	
309	
310	
311	
312	
313	gray
314	D
315	
316	B
317	
318	
319	D
320	
321	
322	
323	
324	
325	
326	
327	
328	
329	
330	B
331	
332	
333	
334	
335	
336	
337	
338	
339	
340	
341	
342	
343	
344	
345	
346	
347	
348	
349	
350	
351	
352	
353	
354	
355	
356	
357	
358	
359	
360	
361	
362	
363	
364	
365	
366	
367	
368	
369	
370	
371	
372	
373	
374	
375	
376	
377	gray
378	
379	
380	
381	
382	
383	
384	
385	
386	
387	
388	
389	A
390	
391	
392	
393	
394	
395	
396	
397	
398	
399	
400	
401	
402	
403	
404	
405	
406	
407	
408	
409	
410	
411	
412	
413	
414	
415	
416	
417	
418	
419	
420	
421	
422	
423	gray
424	D
425	B
426	gray
427	
428	gray
429	B
430	gray
431	gray
432	gray
433	
434	gray
435	
436	
437	gray
438	gray
439	
440	
441	
